MinAbsEStateIndex,qed,SPS,AvgIpc,BalabanJ,HallKierAlpha,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,RingCount,fr_Al_COO,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_Ndealkylation1,fr_Ndealkylation2,fr_allylic_oxid,fr_bicyclic,fr_ester,fr_ether,fr_guanido,fr_methoxy,fr_morpholine,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_pyridine,fr_quatN,fr_thiocyan,T/K,index,Normalized SMILES,lnr
1.1675,0.600698505,10.78947368,2.700821183,3.99e-07,-1.53,10182.09586,9.097011807,9.901064579,18.36299243,6.327320075,0.0,0.0,9.134199296,0.0,12.84164325,0.0,13.59242839,5.969305288,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,32.2280429,0.0,0.0,41.8266157,9.901064579,0.0,8.784722222,-3.006944444,0.0,6.505432886,3.413194444,2.05807831,0.666666667,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.15,2,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.928219303
1.1675,0.600698505,10.78947368,2.700821183,3.99e-07,-1.53,10182.09586,9.097011807,9.901064579,18.36299243,6.327320075,0.0,0.0,9.134199296,0.0,12.84164325,0.0,13.59242839,5.969305288,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,32.2280429,0.0,0.0,41.8266157,9.901064579,0.0,8.784722222,-3.006944444,0.0,6.505432886,3.413194444,2.05807831,0.666666667,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.15,2,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.959350221
1.1675,0.600698505,10.78947368,2.700821183,3.99e-07,-1.53,10182.09586,9.097011807,9.901064579,18.36299243,6.327320075,0.0,0.0,9.134199296,0.0,12.84164325,0.0,13.59242839,5.969305288,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,32.2280429,0.0,0.0,41.8266157,9.901064579,0.0,8.784722222,-3.006944444,0.0,6.505432886,3.413194444,2.05807831,0.666666667,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.15,2,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.985816795
1.1675,0.600698505,10.78947368,2.700821183,3.99e-07,-1.53,10182.09586,9.097011807,9.901064579,18.36299243,6.327320075,0.0,0.0,9.134199296,0.0,12.84164325,0.0,13.59242839,5.969305288,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,32.2280429,0.0,0.0,41.8266157,9.901064579,0.0,8.784722222,-3.006944444,0.0,6.505432886,3.413194444,2.05807831,0.666666667,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.15,2,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1.004301609
0.724767101,0.515501888,12.66666667,2.506370238,5.11e-07,-1.92,205271.7225,8.095818092,4.127401125,6.544756406,0.0,0.0,0.0,21.40269362,0.0,0.0,18.55355576,11.6326728,20.04658231,4.567099648,0.0,27.85225497,26.59133871,4.127401125,0.0,0.0,16.23560902,12.84164325,0.0,24.52642128,17.56005816,5.261891555,0.0,0.0,0.0,5.782761558,6.297614087,3.214698759,-13.44305556,0.5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,308.15,3,CCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.246860078
0.724767101,0.515501888,12.66666667,2.506370238,5.11e-07,-1.92,205271.7225,8.095818092,4.127401125,6.544756406,0.0,0.0,0.0,21.40269362,0.0,0.0,18.55355576,11.6326728,20.04658231,4.567099648,0.0,27.85225497,26.59133871,4.127401125,0.0,0.0,16.23560902,12.84164325,0.0,24.52642128,17.56005816,5.261891555,0.0,0.0,0.0,5.782761558,6.297614087,3.214698759,-13.44305556,0.5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,318.15,3,CCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3074847
0.724767101,0.515501888,12.66666667,2.506370238,5.11e-07,-1.92,205271.7225,8.095818092,4.127401125,6.544756406,0.0,0.0,0.0,21.40269362,0.0,0.0,18.55355576,11.6326728,20.04658231,4.567099648,0.0,27.85225497,26.59133871,4.127401125,0.0,0.0,16.23560902,12.84164325,0.0,24.52642128,17.56005816,5.261891555,0.0,0.0,0.0,5.782761558,6.297614087,3.214698759,-13.44305556,0.5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,328.15,3,CCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.364643114
0.724767101,0.515501888,12.66666667,2.506370238,5.11e-07,-1.92,205271.7225,8.095818092,4.127401125,6.544756406,0.0,0.0,0.0,21.40269362,0.0,0.0,18.55355576,11.6326728,20.04658231,4.567099648,0.0,27.85225497,26.59133871,4.127401125,0.0,0.0,16.23560902,12.84164325,0.0,24.52642128,17.56005816,5.261891555,0.0,0.0,0.0,5.782761558,6.297614087,3.214698759,-13.44305556,0.5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,338.15,3,CCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.418710335
0.724767101,0.515501888,12.66666667,2.506370238,5.11e-07,-1.92,205271.7225,8.095818092,4.127401125,6.544756406,0.0,0.0,0.0,21.40269362,0.0,0.0,18.55355576,11.6326728,20.04658231,4.567099648,0.0,27.85225497,26.59133871,4.127401125,0.0,0.0,16.23560902,12.84164325,0.0,24.52642128,17.56005816,5.261891555,0.0,0.0,0.0,5.782761558,6.297614087,3.214698759,-13.44305556,0.5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,348.15,3,CCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.470003629
0.724767101,0.515501888,12.66666667,2.506370238,5.11e-07,-1.92,205271.7225,8.095818092,4.127401125,6.544756406,0.0,0.0,0.0,21.40269362,0.0,0.0,18.55355576,11.6326728,20.04658231,4.567099648,0.0,27.85225497,26.59133871,4.127401125,0.0,0.0,16.23560902,12.84164325,0.0,24.52642128,17.56005816,5.261891555,0.0,0.0,0.0,5.782761558,6.297614087,3.214698759,-13.44305556,0.5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,358.15,3,CCCC[n+]1ccc(C#N)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.512823626
