MinAbsEStateIndex,MinEStateIndex,qed,SPS,NumRadicalElectrons,AvgIpc,BalabanJ,HallKierAlpha,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA7,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NumAliphaticCarbocycles,NumSaturatedCarbocycles,RingCount,MolLogP,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_NH,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_allylic_oxid,fr_aniline,fr_aryl_methyl,fr_bicyclic,fr_ester,fr_ether,fr_guanido,fr_methoxy,fr_morpholine,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_pyridine,fr_quatN,fr_thiocyan,fr_unbrch_alkane,T/K,index,Normalized SMILES,lnr
1.333333333,1.333333333,0.395341277,18.53846154,0,2.511035676,4.24e-07,-0.33,790.9762378,5.839649417,17.11182001,0.0,0.0,0.0,0.0,0.0,5.261891555,0.0,6.420821623,12.84164325,26.6819412,12.62878915,0.0,26.6819412,0.0,0.0,31.16497206,12.62878915,0.0,0.0,0.0,0.0,0.0,55.20183986,0.0,0.0,26.60019833,5.261891555,3.699074074,0.0,0.0,0.0,5.685286281,6.554297052,2.405416667,0.9,0,0,1,2.04128,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,328.15,21,CCCC[N+]1(C)CCCC1.N#C[S-],1.150572028
1.333333333,1.333333333,0.395341277,18.53846154,0,2.511035676,4.24e-07,-0.33,790.9762378,5.839649417,17.11182001,0.0,0.0,0.0,0.0,0.0,5.261891555,0.0,6.420821623,12.84164325,26.6819412,12.62878915,0.0,26.6819412,0.0,0.0,31.16497206,12.62878915,0.0,0.0,0.0,0.0,0.0,55.20183986,0.0,0.0,26.60019833,5.261891555,3.699074074,0.0,0.0,0.0,5.685286281,6.554297052,2.405416667,0.9,0,0,1,2.04128,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,338.15,22,CCCC[N+]1(C)CCCC1.N#C[S-],1.178654996
1.333333333,1.333333333,0.395341277,18.53846154,0,2.511035676,4.24e-07,-0.33,790.9762378,5.839649417,17.11182001,0.0,0.0,0.0,0.0,0.0,5.261891555,0.0,6.420821623,12.84164325,26.6819412,12.62878915,0.0,26.6819412,0.0,0.0,31.16497206,12.62878915,0.0,0.0,0.0,0.0,0.0,55.20183986,0.0,0.0,26.60019833,5.261891555,3.699074074,0.0,0.0,0.0,5.685286281,6.554297052,2.405416667,0.9,0,0,1,2.04128,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,348.15,23,CCCC[N+]1(C)CCCC1.N#C[S-],1.196948189
1.333333333,1.333333333,0.395341277,18.53846154,0,2.511035676,4.24e-07,-0.33,790.9762378,5.839649417,17.11182001,0.0,0.0,0.0,0.0,0.0,5.261891555,0.0,6.420821623,12.84164325,26.6819412,12.62878915,0.0,26.6819412,0.0,0.0,31.16497206,12.62878915,0.0,0.0,0.0,0.0,0.0,55.20183986,0.0,0.0,26.60019833,5.261891555,3.699074074,0.0,0.0,0.0,5.685286281,6.554297052,2.405416667,0.9,0,0,1,2.04128,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,358.15,24,CCCC[N+]1(C)CCCC1.N#C[S-],1.226712291
1.333333333,1.333333333,0.395341277,18.53846154,0,2.511035676,4.24e-07,-0.33,790.9762378,5.839649417,17.11182001,0.0,0.0,0.0,0.0,0.0,5.261891555,0.0,6.420821623,12.84164325,26.6819412,12.62878915,0.0,26.6819412,0.0,0.0,31.16497206,12.62878915,0.0,0.0,0.0,0.0,0.0,55.20183986,0.0,0.0,26.60019833,5.261891555,3.699074074,0.0,0.0,0.0,5.685286281,6.554297052,2.405416667,0.9,0,0,1,2.04128,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,368.15,25,CCCC[N+]1(C)CCCC1.N#C[S-],1.247032294
1.056388889,-5.194444444,0.611029216,10.46666667,0,2.502940386,2.65e-07,-1.53,1399.143676,5.711881507,9.901064579,18.36299243,6.327320075,0.0,6.176298517,0.0,9.134199296,0.0,6.9237372,0.0,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,6.544756406,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.784722222,-3.006944444,0.0,0.947916667,3.181388889,2.02,0.5,0,0,1,-0.3689,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.15,26,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1.467182865
1.056388889,-5.194444444,0.611029216,10.46666667,0,2.502940386,2.65e-07,-1.53,1399.143676,5.711881507,9.901064579,18.36299243,6.327320075,0.0,6.176298517,0.0,9.134199296,0.0,6.9237372,0.0,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,6.544756406,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.784722222,-3.006944444,0.0,0.947916667,3.181388889,2.02,0.5,0,0,1,-0.3689,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.15,27,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1.475449272
1.056388889,-5.194444444,0.611029216,10.46666667,0,2.502940386,2.65e-07,-1.53,1399.143676,5.711881507,9.901064579,18.36299243,6.327320075,0.0,6.176298517,0.0,9.134199296,0.0,6.9237372,0.0,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,6.544756406,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.784722222,-3.006944444,0.0,0.947916667,3.181388889,2.02,0.5,0,0,1,-0.3689,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.15,28,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1.482286127
1.056388889,-5.194444444,0.611029216,10.46666667,0,2.502940386,2.65e-07,-1.53,1399.143676,5.711881507,9.901064579,18.36299243,6.327320075,0.0,6.176298517,0.0,9.134199296,0.0,6.9237372,0.0,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,6.544756406,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.784722222,-3.006944444,0.0,0.947916667,3.181388889,2.02,0.5,0,0,1,-0.3689,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.15,29,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1.489076556
1.056388889,-5.194444444,0.611029216,10.46666667,0,2.502940386,2.65e-07,-1.53,1399.143676,5.711881507,9.901064579,18.36299243,6.327320075,0.0,6.176298517,0.0,9.134199296,0.0,6.9237372,0.0,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,6.544756406,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.784722222,-3.006944444,0.0,0.947916667,3.181388889,2.02,0.5,0,0,1,-0.3689,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.15,30,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,1.495597096
