SMILES,IL_SMILES,T/K,r,Normalized SMILES,index
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,358.15,2.43,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,368.15,2.45,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1.54,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
Cc1ccccc1,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.15,1.56,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
Cc1ccccc1,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.15,1.58,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
Cc1ccccc1,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,328.15,1.6,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
Cc1ccccc1,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,338.15,1.62,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
Cc1ccccc1,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,348.15,1.63,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
Cc1ccccc1,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,358.15,1.65,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
Cc1ccccc1,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,368.15,1.66,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
