SMILES,IL_SMILES,T/K,r,Normalized SMILES,index,index1,lnr
Cc1ccccc1,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,353.1,3.4,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,174,925,1.2237754316221157
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,313.1,2.66,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,175,926,0.9783261227936078
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,333.1,2.69,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,175,927,0.9895411936137477
Cc1ccccc1,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,353.1,2.73,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,175,928,1.0043016091968684
Cc1ccccc1,C=CC(=O)OCCCn1cc[n+](C)c1.[Br-],313.15,12.94,C=CC(=O)OCCCn1cc[n+](C)c1.[Br-],176,929,2.5603232890727545
Cc1ccccc1,C=CC(=O)OCCCn1cc[n+](C)c1.[Br-],323.15,12.09,C=CC(=O)OCCCn1cc[n+](C)c1.[Br-],176,930,2.492378664626701
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,343.0,2.61,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,177,931,0.959350221334602
Cc1ccccc1,C=CC[n+]1ccn(CCCCCCCCCC)c1.[Br-],323.15,1.85,C=CC[n+]1ccn(CCCCCCCCCC)c1.[Br-],178,932,0.6151856390902335
Cc1ccccc1,C=CC[n+]1ccn(CCCCCCCC)c1.[Br-],323.15,1.92,C=CC[n+]1ccn(CCCCCCCC)c1.[Br-],179,933,0.6523251860396901
Cc1ccccc1,C=CC[n+]1ccn(C)c1.[Br-],323.15,6.19,C=CC[n+]1ccn(C)c1.[Br-],180,934,1.8229350866965048
Cc1ccccc1,CCCCCCCC[n+]1ccn(CCCB(O)O)c1.[Br-],323.15,2.41,CCCCCCCC[n+]1ccn(CCCB(O)O)c1.[Br-],181,935,0.8796267475025636
Cc1ccccc1,CCCCCCCCCCCC[n+]1ccn(CCCB(O)O)c1.[Br-],323.15,3.36,CCCCCCCCCCCC[n+]1ccn(CCCB(O)O)c1.[Br-],182,936,1.2119409739751128
Cc1ccccc1,C=CC[n+]1ccn(CCCCCCCCCCCC)c1.[Br-],323.15,1.38,C=CC[n+]1ccn(CCCCCCCCCCCC)c1.[Br-],183,937,0.3220834991691132
Cc1ccccc1,CCCCCCCCCC[n+]1ccn(CCCB(O)O)c1.[Br-],323.15,1.8,CCCCCCCCCC[n+]1ccn(CCCB(O)O)c1.[Br-],184,938,0.5877866649021191
Cc1ccccc1,C=C(C)C(=O)OCCCCCCn1cc[n+](C)c1.[Br-],313.15,3.33,C=C(C)C(=O)OCCCCCCn1cc[n+](C)c1.[Br-],185,939,1.2029723039923526
Cc1ccccc1,CCCC[NH3+].O=[N+]([O-])[O-],298.15,7.62,CCCC[NH3+].O=[N+]([O-])[O-],186,940,2.030776369698555
Cc1ccccc1,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.0,0.37,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,187,941,-0.9942522733438669
Cc1ccccc1,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.0,0.38,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,187,942,-0.9675840262617056
Cc1ccccc1,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.0,0.387,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,187,943,-0.9493305859523552
Cc1ccccc1,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.0,0.394,C[N+]1(CCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,187,944,-0.9314043696842031
Cc1ccccc1,CC[N+]1(CCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.0,0.283,CC[N+]1(CCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,188,945,-1.2623083813388996
Cc1ccccc1,CC[N+]1(CCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.0,0.294,CC[N+]1(CCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,188,946,-1.2241755116434554
Cc1ccccc1,CC[N+]1(CCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.0,0.311,CC[N+]1(CCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,188,947,-1.1679623668029029
Cc1ccccc1,CC[N+]1(CCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.0,0.324,CC[N+]1(CCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,188,948,-1.1270117631898076
Cc1ccccc1,CC[N+]1(CCCCCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.0,0.441,CC[N+]1(CCCCCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,189,949,-0.818710403535291
Cc1ccccc1,CC[N+]1(CCCCCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.0,0.462,CC[N+]1(CCCCCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,189,950,-0.7721903879003982
Cc1ccccc1,CC[N+]1(CCCCCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.0,0.444,CC[N+]1(CCCCCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,189,951,-0.8119307165499123
Cc1ccccc1,CC[N+]1(CCCCCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.0,0.438,CC[N+]1(CCCCCCCCCCCC[N+]2(CC)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,189,952,-0.8255363686056909
Cc1ccccc1,C[N+]1(CCCCCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,308.0,0.214,C[N+]1(CCCCCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,190,953,-1.5417792639602856
Cc1ccccc1,C[N+]1(CCCCCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.0,0.222,C[N+]1(CCCCCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,190,954,-1.5050778971098575
Cc1ccccc1,C[N+]1(CCCCCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.0,0.24,C[N+]1(CCCCCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,190,955,-1.4271163556401458
Cc1ccccc1,C[N+]1(CCCCCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.0,0.246,C[N+]1(CCCCCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,190,956,-1.4024237430497744
Cc1ccccc1,CCCC[n+]1ccn(C)c1.N#C[S-],298.15,3.4,CCCC[n+]1ccn(C)c1.N#C[S-],191,957,1.2237754316221157
Cc1ccccc1,CCCC[n+]1ccn(C)c1.N#C[S-],308.15,3.48,CCCC[n+]1ccn(C)c1.N#C[S-],191,958,1.247032293786383
Cc1ccccc1,CCCC[n+]1ccn(C)c1.N#C[S-],318.15,3.52,CCCC[n+]1ccn(C)c1.N#C[S-],191,959,1.2584609896100056
Cc1ccccc1,CCCC[n+]1ccn(C)c1.N#C[S-],328.15,3.53,CCCC[n+]1ccn(C)c1.N#C[S-],191,960,1.2612978709452054
Cc1ccccc1,CCCC[n+]1ccn(C)c1.N#C[S-],338.15,3.55,CCCC[n+]1ccn(C)c1.N#C[S-],191,961,1.2669476034873244
Cc1ccccc1,CCCC[n+]1ccn(C)c1.N#C[S-],348.15,3.59,CCCC[n+]1ccn(C)c1.N#C[S-],191,962,1.2781522025001875
Cc1ccccc1,CCCC[n+]1ccn(C)c1.N#C[S-],358.15,3.62,CCCC[n+]1ccn(C)c1.N#C[S-],191,963,1.2864740258376797
Cc1ccccc1,CCCC[n+]1ccn(C)c1.N#C[S-],368.15,3.65,CCCC[n+]1ccn(C)c1.N#C[S-],191,964,1.2947271675944
Cc1ccccc1,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,298.15,1.94,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,192,965,0.6626879730752367
Cc1ccccc1,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,308.15,1.81,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,192,966,0.5933268452777344
Cc1ccccc1,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,318.15,1.78,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,192,967,0.5766133643039938
Cc1ccccc1,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,328.15,1.69,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,192,968,0.5247285289349821
Cc1ccccc1,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,338.15,1.66,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,192,969,0.5068176023684519
Cc1ccccc1,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,348.15,1.65,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,192,970,0.5007752879124892
Cc1ccccc1,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,358.15,1.64,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,192,971,0.494696241836107
Cc1ccccc1,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,368.15,1.61,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,192,972,0.4762341789963717
Cc1ccccc1,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,298.15,2.16,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,193,973,0.7701082216960737
Cc1ccccc1,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,308.15,2.19,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,193,974,0.7839015438284094
Cc1ccccc1,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,318.15,2.22,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,193,975,0.7975071958841882
Cc1ccccc1,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,328.15,2.25,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,193,976,0.8109302162163288
Cc1ccccc1,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,338.15,2.27,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,193,977,0.8197798314933114
Cc1ccccc1,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,348.15,2.3,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,193,978,0.8329091229351039
Cc1ccccc1,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,358.15,2.32,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,193,979,0.8415671856782185
Cc1ccccc1,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,368.15,2.35,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,193,980,0.8544153281560676
Cc1ccccc1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,313.15,0.793,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,194,981,-0.23193205734728903
Cc1ccccc1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,333.15,0.655,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,194,982,-0.4231200433468851
Cc1ccccc1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,353.15,0.538,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,194,983,-0.6198967188203526
Cc1ccccc1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,363.15,0.511,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,194,984,-0.6713856887784326
Cc1ccccc1,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],303.15,1.41,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],195,985,0.34358970439007686
Cc1ccccc1,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],313.15,1.41,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],195,986,0.34358970439007686
Cc1ccccc1,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],323.15,1.42,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],195,987,0.35065687161316933
Cc1ccccc1,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],333.15,1.43,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],195,988,0.3576744442718159
Cc1ccccc1,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],343.15,1.44,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],195,989,0.36464311358790924
Cc1ccccc1,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],353.15,1.45,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],195,990,0.371563556432483
Cc1ccccc1,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],363.15,1.46,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],195,991,0.37843643572024505
Cc1ccccc1,CC[n+]1ccn(C)c1.F[B-](F)(F)F,303.15,3.678,CC[n+]1ccn(C)c1.F[B-](F)(F)F,196,992,1.3023691261821293
Cc1ccccc1,CC[n+]1ccn(C)c1.F[B-](F)(F)F,313.15,3.659,CC[n+]1ccn(C)c1.F[B-](F)(F)F,196,993,1.2971898860370696
Cc1ccccc1,CC[n+]1ccn(C)c1.F[B-](F)(F)F,323.15,3.615,CC[n+]1ccn(C)c1.F[B-](F)(F)F,196,994,1.285091855610728
Cc1ccccc1,CC[n+]1ccn(C)c1.F[B-](F)(F)F,333.15,3.56,CC[n+]1ccn(C)c1.F[B-](F)(F)F,196,995,1.269760544863939
Cc1ccccc1,CC[n+]1ccn(C)c1.F[B-](F)(F)F,343.15,3.516,CC[n+]1ccn(C)c1.F[B-](F)(F)F,196,996,1.2573239798229305
Cc1ccccc1,CC[n+]1ccn(C)c1.F[B-](F)(F)F,353.15,3.482,CC[n+]1ccn(C)c1.F[B-](F)(F)F,196,997,1.2476068413459973
Cc1ccccc1,CC[n+]1ccn(C)c1.F[B-](F)(F)F,363.15,3.399,CC[n+]1ccn(C)c1.F[B-](F)(F)F,196,998,1.223481270713979
Cc1ccccc1,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,303.15,7.082,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,197,999,1.957556353689712
Cc1ccccc1,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,313.15,6.048,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,197,1000,1.7997276388772319
Cc1ccccc1,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,323.15,5.351,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,197,1001,1.6772834593291677
Cc1ccccc1,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,333.15,4.594,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,197,1002,1.5247511042669066
Cc1ccccc1,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,343.15,4.323,CCCn1cc[n+](C)c1C.F[B-](F)(F)F,197,1003,1.4639496056854948
